model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
Aygo,2018,8998,Manual,12977,Petrol,145,56.5,1
Aygo,2017,7498,Manual,16748,Petrol,145,68.9,1
Aygo,2018,9298,Manual,8602,Petrol,150,56.5,1
Aygo,2017,7698,Manual,13166,Petrol,145,68.9,1
Aygo,2017,7998,Manual,10385,Petrol,145,68.9,1
Aygo,2017,8498,Manual,16544,Petrol,145,68.9,1
Aygo,2017,8498,Manual,13173,Petrol,145,68.9,1
Aygo,2018,8498,Manual,10498,Petrol,145,68.9,1
Aygo,2018,8298,Manual,13666,Petrol,145,68.9,1
Aygo,2019,8998,Manual,3593,Petrol,145,56.5,1
Aygo,2015,6470,Manual,39026,Petrol,0,69,1
Aygo,2017,8498,Manual,14439,Petrol,145,68.9,1
Aygo,2017,6998,Manual,20155,Petrol,145,68.9,1
Aygo,2018,7990,Manual,10164,Petrol,145,68.9,1
Aygo,2017,7498,Manual,15156,Petrol,145,68.9,1
Aygo,2017,7498,Manual,17071,Petrol,145,68.9,1
Aygo,2017,7498,Manual,14888,Petrol,145,68.9,1
Aygo,2017,9440,Semi-Auto,11074,Petrol,145,67.3,1
Aygo,2017,5998,Manual,30031,Petrol,0,69,1
Aygo,2017,7498,Manual,19875,Petrol,145,68.9,1
Aygo,2019,8998,Manual,10,Petrol,145,56.5,1
Aygo,2017,6298,Manual,27695,Petrol,0,69,1
Aygo,2017,6698,Manual,14542,Petrol,145,69,1
Aygo,2016,7130,Manual,23971,Petrol,0,69,1
Aygo,2013,4320,Manual,35482,Petrol,0,65.7,1
Aygo,2019,9990,Manual,3055,Petrol,145,57.7,1
Aygo,2014,4495,Manual,19658,Petrol,0,65.7,1
Aygo,2016,7298,Manual,15950,Petrol,0,69,1
Aygo,2020,9995,Manual,500,Petrol,145,56.5,1
Aygo,2017,7698,Manual,11881,Petrol,150,68.9,1
Aygo,2017,7698,Manual,6291,Petrol,150,68.9,1
Aygo,2017,7698,Manual,11211,Petrol,150,68.9,1
Aygo,2017,7698,Manual,15126,Petrol,150,68.9,1
Aygo,2019,9495,Manual,1360,Petrol,145,56.5,1
Aygo,2019,9998,Manual,2519,Petrol,145,56.5,1
Aygo,2019,8998,Manual,1620,Petrol,150,56.5,1
Aygo,2017,7990,Manual,34697,Petrol,0,69,1
Aygo,2017,8990,Semi-Auto,15772,Petrol,0,67.3,1
Aygo,2015,5620,Manual,32540,Petrol,0,69,1
Aygo,2017,9498,Semi-Auto,18303,Petrol,0,67.3,1
Aygo,2017,8998,Semi-Auto,16007,Petrol,145,67.3,1
Aygo,2014,6298,Manual,19438,Petrol,0,69,1
Aygo,2017,7998,Manual,5008,Petrol,145,68.9,1
Aygo,2017,6998,Manual,31571,Petrol,145,68.9,1
Aygo,2018,7998,Manual,18752,Petrol,145,68.9,1
Aygo,2017,8998,Manual,11925,Petrol,145,68.9,1
Aygo,2017,7698,Manual,8243,Petrol,145,68.9,1
Aygo,2017,7695,Manual,19700,Petrol,0,68.9,1
Aygo,2014,4798,Manual,36493,Petrol,0,65.7,1
Aygo,2015,6498,Manual,21261,Petrol,0,69,1
Aygo,2017,7998,Manual,6730,Petrol,145,68.9,1
Aygo,2019,9495,Manual,1360,Petrol,145,56.5,1
Aygo,2017,5295,Manual,15666,Petrol,0,69,1
Aygo,2016,5295,Manual,12076,Petrol,0,69,1
Aygo,2018,6995,Manual,16283,Petrol,145,69,1
Aygo,2015,5498,Manual,40599,Petrol,0,69,1
Aygo,2019,9498,Manual,5826,Petrol,150,56.5,1
Aygo,2015,6380,Manual,23365,Petrol,0,69,1
Aygo,2015,6698,Manual,17517,Petrol,0,69,1
Aygo,2016,6698,Manual,24183,Petrol,0,69,1
Aygo,2019,11990,Manual,1546,Petrol,145,56.5,1
Aygo,2017,7698,Manual,15635,Petrol,145,68.9,1
Aygo,2018,8298,Manual,12051,Petrol,145,56.5,1
Aygo,2017,7990,Manual,13649,Petrol,145,68.9,1
Aygo,2018,8490,Manual,25000,Petrol,145,56.5,1
Aygo,2016,6698,Manual,20169,Petrol,0,69,1
Aygo,2017,7698,Manual,19654,Petrol,145,68.9,1
Aygo,2017,6498,Manual,20949,Petrol,145,69,1
Aygo,2017,7598,Manual,11737,Petrol,150,68.9,1
Aygo,2017,7498,Manual,25223,Petrol,145,68.9,1
Aygo,2017,7498,Manual,16912,Petrol,150,68.9,1
Aygo,2017,7295,Manual,16044,Petrol,150,69,1
Aygo,2017,8495,Manual,14751,Petrol,145,68.9,1
Aygo,2017,7498,Manual,19458,Petrol,145,68.9,1
Aygo,2018,7170,Manual,10018,Petrol,145,69,1
Aygo,2015,5990,Manual,44000,Petrol,0,69,1
Aygo,2014,6090,Manual,20607,Petrol,0,69,1
Aygo,2017,6998,Manual,27735,Petrol,145,68.9,1
Aygo,2017,7998,Manual,19520,Petrol,150,68.9,1
Aygo,2017,8795,Manual,14485,Petrol,145,68.9,1
Aygo,2019,10995,Manual,1094,Petrol,145,57.7,1
Aygo,2017,7695,Manual,19451,Petrol,145,69,1
Aygo,2018,7998,Manual,15111,Petrol,150,68.9,1
Aygo,2017,7498,Manual,23151,Petrol,150,68.9,1
Aygo,2017,7498,Manual,24102,Petrol,150,68.9,1
Aygo,2017,6498,Manual,19889,Petrol,150,69,1
Aygo,2017,7998,Manual,20393,Petrol,150,68.9,1
Aygo,2018,8698,Manual,6144,Petrol,150,68.9,1
Aygo,2017,6495,Manual,19402,Petrol,145,69,1
Aygo,2018,7410,Manual,21501,Petrol,145,68.9,1
Aygo,2017,6298,Manual,33402,Petrol,0,69,1
Aygo,2017,7888,Manual,20857,Petrol,0,68.9,1
Aygo,2017,6244,Manual,19287,Petrol,150,69,1
Aygo,2015,6998,Manual,28880,Petrol,0,69,1
Aygo,2017,7998,Manual,6240,Petrol,145,68.9,1
Aygo,2016,7950,Manual,21054,Petrol,0,69,1
Aygo,2019,8998,Manual,3712,Petrol,145,56.5,1
Aygo,2017,6998,Manual,39344,Petrol,150,68.9,1
Aygo,2016,6698,Manual,35950,Petrol,0,69,1
Aygo,2017,7498,Manual,30920,Petrol,145,68.9,1
Aygo,2017,7498,Manual,23555,Petrol,145,68.9,1
Aygo,2017,9498,Semi-Auto,10160,Petrol,145,67.3,1
Aygo,2017,7698,Manual,25580,Petrol,145,68.9,1
Aygo,2017,7998,Manual,11605,Petrol,145,68.9,1
Aygo,2017,7698,Manual,13760,Petrol,145,68.9,1
Aygo,2017,7698,Manual,16220,Petrol,145,68.9,1
Aygo,2016,6695,Manual,25997,Petrol,0,69,1
Aygo,2016,8450,Manual,12935,Petrol,0,69,1
Aygo,2016,8450,Manual,12935,Petrol,0,69,1
Aygo,2018,7711,Manual,14143,Petrol,150,56.5,1
Aygo,2019,8199,Manual,7179,Petrol,145,56.5,1
Aygo,2017,8995,Manual,11342,Petrol,145,68.9,1
Aygo,2020,10295,Manual,1310,Petrol,150,57.7,1
Aygo,2018,8490,Manual,7050,Petrol,145,56.5,1
Aygo,2015,5945,Manual,23755,Petrol,0,69,1
Aygo,2014,5995,Manual,35753,Petrol,0,69,1
Aygo,2017,7795,Manual,15896,Petrol,150,68.9,1
Aygo,2019,9650,Manual,2417,Petrol,145,57.7,1
Aygo,2015,5695,Manual,42761,Petrol,0,69,1
Aygo,2017,7995,Manual,9335,Petrol,150,68.9,1
Aygo,2017,7995,Manual,6351,Petrol,145,68.9,1
Aygo,2019,9995,Manual,6365,Petrol,145,57.7,1
Aygo,2019,10695,Semi-Auto,7812,Petrol,145,55.4,1
Aygo,2017,7795,Manual,7718,Petrol,145,68.9,1
Aygo,2017,9995,Semi-Auto,11480,Petrol,145,67.3,1
Aygo,2016,6000,Manual,34644,Petrol,0,69,1
Aygo,2018,7495,Manual,30500,Petrol,145,68.9,1
Aygo,2018,7995,Manual,8525,Petrol,145,56.5,1
Aygo,2017,7995,Manual,37392,Petrol,145,68.9,1
Aygo,2014,5395,Manual,29000,Petrol,0,69,1
Aygo,2018,5790,Manual,40000,Petrol,150,69,1
Aygo,2017,5995,Manual,25629,Petrol,0,69,1
Aygo,2017,7380,Manual,22314,Petrol,0,68.9,1
Aygo,2013,3990,Manual,40003,Petrol,0,65.7,1
Aygo,2015,5050,Manual,41700,Petrol,0,69,1
Aygo,2017,5444,Manual,32465,Petrol,0,69,1
Aygo,2017,7250,Manual,21680,Petrol,145,68.9,1
Aygo,2018,7995,Manual,10543,Petrol,145,69,1
Aygo,2017,7000,Manual,17008,Petrol,0,69,1
Aygo,2018,8995,Manual,8525,Petrol,145,56.5,1
Aygo,2017,7000,Manual,15182,Petrol,145,69,1
Aygo,2017,7495,Manual,19505,Petrol,145,68.9,1
Aygo,2016,6500,Manual,23850,Petrol,0,69,1
Aygo,2016,7495,Manual,34136,Petrol,0,69,1
Aygo,2019,9995,Manual,2127,Petrol,145,57.7,1
Aygo,2017,8795,Manual,4002,Petrol,145,68.9,1
Aygo,2014,6295,Manual,38385,Petrol,0,69,1
Aygo,2017,7750,Manual,11730,Petrol,0,68.9,1
Aygo,2017,7750,Manual,9917,Petrol,145,68.9,1
Aygo,2019,10500,Manual,402,Petrol,145,56.5,1
Aygo,2017,9490,Semi-Auto,5300,Petrol,150,67.3,1
Aygo,2019,9510,Manual,1157,Petrol,145,57.7,1
Aygo,2014,6000,Manual,25568,Petrol,0,69,1
Aygo,2017,5770,Manual,34486,Petrol,0,69,1
Aygo,2017,8250,Manual,7235,Petrol,145,68.9,1
Aygo,2015,6500,Manual,23427,Petrol,0,69,1
Aygo,2016,7971,Manual,10426,Petrol,0,69,1
Aygo,2018,7990,Manual,13007,Petrol,145,68.9,1
Aygo,2014,4998,Manual,30362,Petrol,0,69,1
Aygo,2019,10000,Manual,1542,Petrol,145,57.7,1
Aygo,2019,10000,Manual,860,Petrol,145,57.7,1
Aygo,2015,6000,Manual,32084,Petrol,0,69,1
Aygo,2019,10000,Manual,759,Petrol,145,57.7,1
Aygo,2018,8250,Manual,7378,Petrol,145,68.9,1
Aygo,2014,5230,Manual,30000,Petrol,0,69,1
Aygo,2018,8500,Manual,11949,Petrol,145,68.9,1
Aygo,2018,7500,Manual,13570,Petrol,145,69,1
Aygo,2017,7500,Manual,17997,Petrol,145,68.9,1
Aygo,2018,8250,Manual,16409,Petrol,145,68.9,1
Aygo,2016,8000,Manual,15951,Petrol,0,69,1
Aygo,2018,7695,Manual,13944,Petrol,145,68.9,1
Aygo,2019,10000,Manual,1000,Petrol,145,57.7,1
Aygo,2019,10000,Manual,1000,Petrol,145,57.7,1
Aygo,2015,5999,Manual,41758,Petrol,0,69,1
Aygo,2015,6250,Manual,21038,Petrol,0,69,1
Aygo,2017,7750,Manual,30678,Petrol,150,68.9,1
Aygo,2017,7750,Manual,31839,Petrol,0,68.9,1
Aygo,2016,8000,Manual,17421,Petrol,0,69,1
Aygo,2016,8000,Manual,16799,Petrol,0,69,1
Aygo,2017,6500,Manual,25978,Petrol,145,69,1
Aygo,2017,7000,Manual,20208,Petrol,145,69,1
Aygo,2017,7750,Manual,26779,Petrol,145,68.9,1
Aygo,2017,8500,Manual,14453,Petrol,145,68.9,1
Aygo,2019,9790,Manual,2967,Petrol,145,57.7,1
Aygo,2017,9000,Manual,16490,Petrol,145,68.9,1
Aygo,2017,8000,Manual,15378,Petrol,0,68.9,1
Aygo,2014,5500,Manual,37756,Petrol,0,69,1
Aygo,2019,8980,Manual,5000,Petrol,145,56.5,1
Aygo,2016,7250,Manual,21304,Petrol,0,69,1
Aygo,2016,7500,Manual,37688,Petrol,0,69,1
Aygo,2016,5870,Manual,30582,Petrol,0,69,1
Aygo,2015,5150,Manual,44651,Petrol,0,69,1
Aygo,2019,8790,Manual,14887,Petrol,145,57.7,1
Aygo,2020,9680,Manual,5000,Petrol,145,57.7,1
Aygo,2018,7980,Manual,6640,Petrol,145,68.9,1
Aygo,2018,7780,Manual,13658,Petrol,150,68.9,1
Aygo,2017,5790,Manual,26333,Petrol,0,69,1
Aygo,2017,7500,Manual,21882,Petrol,0,68.9,1
Aygo,2017,8250,Manual,11459,Petrol,150,68.9,1
Aygo,2017,7999,Manual,13000,Petrol,150,68.9,1
Aygo,2016,6550,Manual,24594,Petrol,0,69,1
Aygo,2015,6330,Manual,22333,Petrol,0,69,1
Aygo,2017,7990,Semi-Auto,20662,Petrol,150,67,1
Aygo,2017,8298,Manual,2509,Petrol,0,68.9,1
Aygo,2018,6298,Manual,22794,Petrol,150,69,1
Aygo,2015,5610,Manual,33344,Petrol,0,69,1
Aygo,2018,6657,Manual,19751,Petrol,145,69,1
Aygo,2017,8499,Manual,13534,Petrol,145,68.9,1
Aygo,2016,6465,Manual,23841,Petrol,0,69,1
Aygo,2016,6995,Manual,23499,Petrol,0,69,1
Aygo,2016,7495,Manual,9572,Petrol,0,69,1
Aygo,2017,7995,Manual,13937,Petrol,145,69,1
Aygo,2015,6995,Manual,19062,Petrol,0,69,1
Aygo,2019,9995,Manual,4122,Petrol,145,57.7,1
Aygo,2018,6790,Manual,11015,Petrol,145,69,1
Aygo,2016,7291,Semi-Auto,31096,Petrol,0,67,1
Aygo,2019,9295,Manual,5000,Petrol,145,57.7,1
Aygo,2019,9295,Manual,5000,Petrol,145,57.7,1
Aygo,2018,8788,Manual,12453,Petrol,145,68.9,1
Aygo,2019,9990,Semi-Auto,14408,Petrol,145,56.5,1
Aygo,2018,8690,Manual,6598,Petrol,145,56.5,1
Aygo,2018,8490,Manual,12589,Petrol,145,56.5,1
Aygo,2016,8000,Semi-Auto,6746,Petrol,0,67,1
Aygo,2018,8790,Manual,31964,Petrol,145,56.5,1
Aygo,2019,9290,Manual,19151,Petrol,150,57.7,1
Aygo,2017,7000,Manual,12863,Petrol,0,69,1
Aygo,2019,8990,Manual,11705,Petrol,150,57.7,1
Aygo,2019,9990,Manual,13218,Petrol,150,56.5,1
Aygo,2019,10980,Manual,4000,Petrol,145,57.7,1
Aygo,2017,7480,Manual,22744,Petrol,0,69,1
Aygo,2015,5498,Manual,33248,Petrol,0,69,1
Aygo,2018,9488,Semi-Auto,15212,Petrol,150,67.3,1
Aygo,2019,7890,Manual,8441,Petrol,145,56.5,1
Aygo,2019,8790,Manual,12143,Petrol,145,57.7,1
Aygo,2017,6490,Manual,10967,Petrol,0,69,1
Aygo,2015,5995,Manual,26200,Petrol,0,69,1
Aygo,2019,8788,Manual,3305,Petrol,150,56.5,1
Aygo,2016,7000,Manual,14347,Petrol,0,69,1
Aygo,2018,7795,Manual,21477,Petrol,150,68.9,1
Aygo,2015,5998,Manual,21425,Petrol,0,69,1
Aygo,2017,7488,Manual,13348,Petrol,145,68.9,1
Aygo,2017,7498,Manual,15261,Petrol,150,68.9,1
Aygo,2019,8748,Manual,3552,Petrol,145,56.5,1
Aygo,2020,13495,Semi-Auto,999,Petrol,145,55.4,1
Aygo,2019,8690,Manual,1996,Petrol,145,56.5,1
Aygo,2019,8490,Manual,8490,Petrol,145,56.5,1
Aygo,2019,8495,Manual,5519,Petrol,145,56.5,1
Aygo,2019,8295,Manual,11283,Petrol,145,56.5,1
Aygo,2019,8295,Manual,11065,Petrol,145,56.5,1
Aygo,2019,10000,Manual,4883,Petrol,145,56.5,1
Aygo,2018,9495,Manual,5253,Petrol,145,56.5,1
Aygo,2017,7995,Manual,6500,Petrol,145,68.9,1
Aygo,2018,9295,Manual,11000,Petrol,150,56.5,1
Aygo,2017,6980,Manual,6545,Petrol,145,69,1
Aygo,2016,6380,Manual,31249,Petrol,0,69,1
Aygo,2018,8980,Manual,7746,Petrol,145,56.5,1
Aygo,2018,7980,Manual,8622,Petrol,145,68.9,1
Aygo,2017,7480,Manual,16987,Petrol,145,69,1
Aygo,2018,7880,Manual,22024,Petrol,145,68.9,1
Aygo,2015,5995,Manual,19702,Petrol,0,69,1
Aygo,2016,6480,Manual,19252,Petrol,0,69,1
Aygo,2017,7680,Manual,12607,Petrol,145,68.9,1
Aygo,2019,9780,Manual,1500,Petrol,145,57.7,1
Aygo,2017,7480,Manual,13229,Petrol,145,68.9,1
Aygo,2019,10695,Manual,50,Petrol,150,57.7,1
Aygo,2019,9950,Manual,6010,Petrol,150,57.7,1
Aygo,2017,8995,Semi-Auto,17452,Petrol,145,67.3,1
Aygo,2013,4199,Manual,25052,Petrol,0,65.7,1
Aygo,2018,6970,Manual,42248,Petrol,145,69,1
Aygo,2018,7988,Manual,14252,Petrol,150,68.9,1
Aygo,2015,6888,Manual,18822,Petrol,0,69,1
Aygo,2019,8690,Manual,2438,Petrol,145,56.5,1
Aygo,2019,8690,Manual,3708,Petrol,145,56.5,1
Aygo,2017,7288,Manual,14876,Petrol,145,68.9,1
Aygo,2015,6588,Manual,21875,Petrol,0,69,1
Aygo,2017,6388,Manual,26850,Petrol,0,69,1
Aygo,2017,6980,Manual,15172,Petrol,0,69,1
Aygo,2019,9990,Manual,5709,Petrol,145,57.7,1
Aygo,2016,6230,Manual,15735,Petrol,0,69,1
Aygo,2017,6790,Manual,35354,Petrol,150,68.9,1
Aygo,2017,6990,Manual,32236,Petrol,150,68.9,1
Aygo,2017,6290,Manual,35569,Petrol,145,69,1
Aygo,2015,4910,Manual,44651,Petrol,0,69,1
Aygo,2019,10290,Manual,1118,Petrol,150,57.7,1
Aygo,2019,10290,Manual,1546,Petrol,145,57.7,1
Aygo,2019,9990,Manual,1707,Petrol,145,57.7,1
Aygo,2017,8890,Manual,20546,Petrol,0,68.9,1
Aygo,2019,9990,Manual,7642,Petrol,145,57.7,1
Aygo,2019,9290,Manual,718,Petrol,145,56.5,1
Aygo,2017,6992,Manual,16934,Petrol,145,68.9,1
Aygo,2016,8990,Semi-Auto,27314,Petrol,0,67,1
Aygo,2019,9990,Manual,2290,Petrol,145,57.7,1
Aygo,2014,5992,Semi-Auto,11265,Petrol,20,62.8,1
Aygo,2018,7690,Manual,12515,Petrol,145,68.9,1
Aygo,2017,8495,Manual,28500,Petrol,0,68.9,1
Aygo,2013,5495,Semi-Auto,17000,Petrol,20,62.8,1
Aygo,2017,7495,Manual,6500,Petrol,150,69,1
Aygo,2018,9290,Manual,10596,Petrol,150,68.9,1
Aygo,2017,8295,Manual,8800,Petrol,145,68.9,1
Aygo,2019,10495,Manual,4,Petrol,145,57.7,1
Aygo,2019,9995,Manual,2411,Petrol,145,57.7,1
Aygo,2019,9995,Manual,2541,Petrol,145,57.7,1
Aygo,2019,9995,Manual,2642,Petrol,145,57.7,1
Aygo,2017,6995,Manual,17859,Petrol,145,69,1
Aygo,2019,9995,Manual,2136,Petrol,145,57.7,1
Aygo,2015,5995,Manual,41000,Petrol,0,69,1
Aygo,2015,7295,Manual,10687,Petrol,0,69,1
Aygo,2016,6495,Manual,12552,Petrol,0,69,1
Aygo,2019,9995,Manual,2845,Petrol,145,57.7,1
Aygo,2017,7895,Semi-Auto,25909,Petrol,145,67,1
Aygo,2019,10495,Manual,4883,Petrol,145,56.5,1
Aygo,2019,8795,Manual,3000,Petrol,145,56.5,1
Aygo,2016,6495,Manual,20377,Petrol,0,69,1
Aygo,2018,6995,Manual,5963,Petrol,145,69,1
Aygo,2019,9445,Manual,3500,Petrol,145,56.5,1
Aygo,2017,8000,Manual,13873,Petrol,0,68.9,1
Aygo,2014,5700,Manual,41000,Petrol,0,69,1
Aygo,2018,7500,Semi-Auto,7900,Petrol,150,67,1
Aygo,2019,9500,Manual,250,Petrol,150,57.7,1
Aygo,2017,7500,Manual,16492,Petrol,145,68.9,1
Aygo,2017,7700,Manual,37313,Petrol,0,68.9,1
Aygo,2016,7490,Manual,9674,Petrol,0,69,1
Aygo,2018,6990,Manual,18781,Petrol,150,69,1
Aygo,2016,7495,Manual,9601,Petrol,0,69,1
Aygo,2016,6800,Manual,21672,Petrol,0,69,1
Aygo,2019,8495,Manual,5519,Petrol,145,56.5,1
Aygo,2019,8469,Manual,11283,Petrol,145,56.5,1
Aygo,2018,7295,Manual,23754,Petrol,145,68.9,1
Aygo,2018,6995,Manual,36451,Petrol,150,69,1
Aygo,2018,6995,Manual,22935,Petrol,150,69,1
Aygo,2019,8500,Manual,12510,Petrol,145,56.5,1
Aygo,2019,8500,Manual,6006,Petrol,145,56.5,1
Aygo,2018,7995,Manual,12880,Petrol,145,68.9,1
Aygo,2017,7495,Manual,27357,Petrol,145,68.9,1
Aygo,2018,6995,Manual,8660,Petrol,150,69,1
Aygo,2018,7000,Manual,12420,Petrol,145,69,1
Aygo,2019,9995,Manual,1000,Petrol,145,57.7,1
Aygo,2017,6550,Manual,17047,Petrol,0,69,1
Aygo,2019,9995,Semi-Auto,350,Petrol,145,56.5,1
Aygo,2019,9995,Semi-Auto,3356,Petrol,150,55.4,1
Aygo,2017,7995,Manual,9779,Petrol,145,68.9,1
Aygo,2017,6995,Manual,10000,Petrol,0,69,1
Aygo,2018,8995,Semi-Auto,26939,Petrol,145,67.3,1
Aygo,2016,6295,Manual,14338,Petrol,0,69,1
Aygo,2016,5795,Manual,16339,Petrol,0,69,1
Aygo,2017,6295,Manual,24086,Petrol,0,69,1
Aygo,2017,7495,Manual,7973,Petrol,145,68.9,1
Aygo,2017,6500,Manual,11127,Petrol,145,68.9,1
Aygo,2017,6995,Manual,16802,Petrol,0,68.9,1
Aygo,2015,6495,Manual,14040,Petrol,0,69,1
Aygo,2017,6995,Manual,25254,Petrol,0,69,1
Aygo,2016,6995,Manual,26555,Petrol,0,69,1
Aygo,2015,4709,Manual,34500,Petrol,0,69,1
Aygo,2019,9490,Manual,1915,Petrol,145,57.7,1
Aygo,2014,6480,Manual,34556,Petrol,0,69,1
Aygo,2015,6450,Manual,28900,Petrol,0,69,1
Aygo,2018,9870,Semi-Auto,4110,Petrol,145,67.3,1
Aygo,2016,6270,Manual,20563,Petrol,0,69,1
Aygo,2014,5790,Manual,29540,Petrol,0,69,1
Aygo,2015,5290,Manual,35920,Petrol,0,69,1
Aygo,2017,7495,Manual,13397,Petrol,0,69,1
Aygo,2018,6995,Manual,21837,Petrol,145,69,1
Aygo,2018,7495,Manual,2611,Petrol,145,69,1
Aygo,2018,7995,Manual,19775,Petrol,145,68.9,1
Aygo,2017,7950,Manual,8727,Petrol,145,68.9,1
Aygo,2018,9490,Manual,4263,Petrol,145,56.5,1
Aygo,2019,8790,Manual,6064,Petrol,145,57.7,1
Aygo,2019,10490,Semi-Auto,9927,Petrol,145,56.5,1
Aygo,2015,5298,Manual,43788,Petrol,0,69,1
Aygo,2017,6490,Manual,21022,Petrol,0,69,1
Aygo,2019,9990,Manual,2863,Petrol,150,56.5,1
Aygo,2016,6250,Manual,12584,Petrol,0,69,1
Aygo,2017,8490,Automatic,21127,Petrol,145,67.3,1
Aygo,2017,6945,Manual,22170,Petrol,0,69,1
Aygo,2017,6290,Manual,17817,Petrol,0,69,1
Aygo,2017,6945,Manual,30427,Petrol,145,69,1
Aygo,2019,8990,Manual,1205,Petrol,145,56.5,1
Aygo,2020,10790,Semi-Auto,525,Petrol,145,56.5,1
Aygo,2017,6790,Manual,21205,Petrol,145,69,1
Aygo,2017,7490,Manual,13951,Petrol,145,69,1
